epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.76752,0.4872374148845673,0.8449,0.37026113891601564
2,0.87097,0.32318021872520447,0.88215,0.295746031332016
3,0.8993,0.2558573707354069,0.9108,0.21483977450728417
4,0.91648,0.2186798527431488,0.89925,0.2683317832246423
5,0.92822,0.19132260987639427,0.92215,0.19564777420163154
6,0.93635,0.16929464007347822,0.87325,0.32864658007211983
7,0.94288,0.15335327556431294,0.92145,0.23364751911871134
8,0.94759,0.14281188046753407,0.9317,0.17407222378849982
9,0.95215,0.1311922832068801,0.93675,0.17039933811500668
10,0.95558,0.12283987226784229,0.9408,0.17648073692284524
