epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.62109,0.6035814399814605,0.8246,0.44438930206298827
2,0.68299,0.49986206305503844,0.88685,0.3282144314289093
3,0.70576,0.4544126071357727,0.9096,0.24447399958372115
4,0.71495,0.43151117351055146,0.93255,0.2260210551738739
5,0.72565,0.4121648284626007,0.9469,0.17949198204278946
6,0.72626,0.4029313658237457,0.93725,0.1905884567707777
7,0.73096,0.3963507046508789,0.95015,0.17466624066233635
8,0.73442,0.3889468798303604,0.9613,0.13634896912276745
9,0.73403,0.3880491579723358,0.93825,0.16368977532088758
10,0.73625,0.3831500903081894,0.96175,0.12297247687578201
